model,seq_length,out_length,rmse,mae,mape,r2,mse
lstm,90,30,0.011563157439807582,0.006829414459448011,0.8441316359248366,0.9774486879939077,0.00013370660997777742
ridge,90,30,0.013546538365560145,0.009148021837384637,1.1278986196537542,0.9690489349156131,0.0001835087016895929
gru,90,30,0.014597601544124589,0.010492806111630937,1.3006778259156617,0.9640596794832819,0.0002130899708410286
random_walk,90,30,0.017149010443689137,0.0112878932303709,1.356335131696602,0.9503982424130484,0.0002940885591977591
rf,90,30,0.02563513303871659,0.01512507440476191,1.9626194934225867,0.8891616410304747,0.0006571600459126988
transformer,90,30,0.035677907379296554,0.03074125546652173,3.5936185158842155,0.7853070995147056,0.0012729130749656638
svr,90,30,0.04453850850214654,0.039789346395362045,4.906370869773311,0.6654274744987446,0.0019836787395957796
lstm,90,60,0.03100111483825184,0.020079654974313008,2.4616457675265413,0.841219969681897,0.0009610691212144783
gru,90,60,0.03130432517900395,0.02080406949917475,2.556473109417148,0.8380988441761775,0.000979960774912821
ridge,90,60,0.03182659593890092,0.02144714679750175,2.62149952737113,0.8326515717608516,0.0010129322090580645
random_walk,90,60,0.038953201251160335,0.024659192947739654,2.960113085042552,0.7493154514943594,0.0015173518877133992
transformer,90,60,0.047402438353796525,0.034608225695575985,4.385317713149566,0.6287703798475643,0.00224699116188548
svr,90,60,0.049007820984026264,0.041567526057863916,5.100712373539156,0.6031996533194173,0.0024017665176023647
rf,90,60,0.05253075331199673,0.0334458023313492,4.320489966083817,0.5441011314362529,0.0027594800435258547
gru,180,120,0.0508933269777129,0.03570820136344622,4.369338727170844,0.4929054052064865,0.0025901307308603995
lstm,180,120,0.05547969822973518,0.040101080663667785,4.921988558358695,0.39739118951533925,0.0030779969156624815
ridge,180,120,0.056728325539613794,0.041632097885423665,5.110036702964836,0.36996130116841763,0.0032181029185283988
svr,180,120,0.06405112001994168,0.0504855820270163,6.223292867986486,0.19680544906953712,0.004102545975808973
random_walk,180,120,0.06711697343671273,0.046340333733296366,5.565168130985223,0.11807424569670655,0.004504688123304403
rf,180,120,0.06988116304022832,0.04928573784722221,6.184623347996547,0.043934723026932576,0.004883376947854972
transformer,180,120,0.1101666338921955,0.09537434143528106,11.853497999128336,-1.376115003086304,0.012136687223137039
ridge,225,150,0.057525356192436546,0.0378908569542766,4.652904013287278,0.3266794865999726,0.0033091666050666974
lstm,225,150,0.060422125559729055,0.04002555631656495,4.921215534352172,0.2571601202302112,0.0036508332571556635
gru,225,150,0.06050801924993404,0.04084954282283783,5.022837660589367,0.25504663582620934,0.003661220393550388
svr,225,150,0.06494155165399208,0.04852400951149757,5.922399394012833,0.1418789903697837,0.004217405131228123
random_walk,225,150,0.07060185722509094,0.04780150928445298,5.660169731123112,-0.014227691965945422,0.004984622243632126
